gene	transcript	chromosome	start_position	end_position
RMND1	ENST00000367303	6	151725989	151773259
S1PR3	ENST00000375846	9	91606362	91619925
SLC25A38	ENST00000273158	3	39424839	39438842
SUSD2	ENST00000358321	22	24577227	24585078
ZNF438	ENST00000436087	10	31109136	31320866
ZNF446	ENST00000594369	19	58985384	58992597
GPR180	ENST00000376958	13	95254157	95286899
TPO	ENST00000345913	2	1377995	1547483
CYP4X1	ENST00000371901	1	47427036	47516423
LHFPL1	ENST00000371968	X	111873876	111923375
ADPRM	ENST00000379774	17	10600911	10614550
ATG9B	ENST00000377974	7	150709297	150721586
RP4-559A3.7	ENST00000432920	1	226074396	226111978
MTFR2	ENST00000420702	6	136552162	136571473
XPNPEP2	ENST00000371106	X	128872950	128903514
ADCK4	ENST00000324464	19	41197434	41224112
FAM129C	ENST00000335393	19	17634110	17664648
RETSAT	ENST00000295802	2	85569211	85581743
CTC-360G5.8	ENST00000599996	19	39406044	39440495
HSF4	ENST00000264009	16	67197288	67203848
TRIM6	ENST00000380097	11	5617339	5634188
AARSD1	ENST00000427569	17	41102543	41116515
ESYT3	ENST00000389567	3	138153428	138200528
CLEC4G	ENST00000328853	19	7793843	7798792
GDPD4	ENST00000315938	11	76927603	77012732
C15orf60	ENST00000331090	15	73735499	73852355
C16orf87	ENST00000285697	16	46830519	46865323
ZFYVE27	ENST00000356257	10	99496878	99520664
AQP10	ENST00000324978	1	154293566	154297801
SNX11	ENST00000393405	17	46180719	46200436
AMBN	ENST00000322937	4	71457973	71473005
C2orf74	ENST00000432605	2	61372243	61391964
RAD52	ENST00000358495	12	1021243	1099219
SNRNP25	ENST00000383018	16	103010	107669
FRAT1	ENST00000371021	10	99079022	99081672
FAM45A	ENST00000361432	10	120863598	120897496
EXOSC9	ENST00000379663	4	122722472	122738176
B4GALT7	ENST00000029410	5	177027101	177037348
CDK18	ENST00000506784	1	205473723	205501921
METAP1D	ENST00000315796	2	172864490	172947158
C19orf44	ENST00000221671	19	16607122	16632163
WDR41	ENST00000296679	5	76721795	76916436
RPE65	ENST00000262340	1	68894505	68915642
XXYLT1	ENST00000310380	3	194789008	194991896
ZCCHC12	ENST00000310164	X	117957753	117960931
SSC5D	ENST00000389623	19	55999771	56030465
FAM189A2	ENST00000257515	9	71939488	72007371
RPP30	ENST00000413330	10	92631473	92668312
CYP3A43	ENST00000222382	7	99425636	99463718
LY9	ENST00000263285	1	160765864	160798051
RND2	ENST00000587250	17	41177258	41184057
UGT1A9	ENST00000354728	2	234580499	234681946
VMA21	ENST00000330374	X	150564987	150577836
CELA2B	ENST00000375910	1	15792404	15817895
EMC9	ENST00000419198	14	24608174	24610797
CRISP3	ENST00000433368	6	49695097	49712150
SPO11	ENST00000371263	20	55904815	55919050
WDR65	ENST00000528956	1	43637820	43720029
AP3M2	ENST00000518421	8	42010464	42029191
TRPM2	ENST00000397928	21	45770046	45862964
LRRC70	ENST00000334994	5	61874562	61877275
HMGCL	ENST00000374490	1	24128375	24165110
SH3YL1	ENST00000356150	2	217730	266398
MAPK13	ENST00000211287	6	36095586	36107842
CAPN14	ENST00000403897	2	31395924	31456724
HS3ST1	ENST00000002596	4	11394774	11431389
TLCD1	ENST00000292090	17	27051366	27054953
METTL11B	ENST00000439373	1	170115142	170136931
DCST1	ENST00000295542	1	155006300	155023406
KRBA1	ENST00000255992	7	149411872	149431664
CMBL	ENST00000296658	5	10275987	10308138
TTC1	ENST00000231238	5	159436120	159492550
HMCES	ENST00000383463	3	128997671	129025029
PAFAH2	ENST00000374282	1	26286258	26324648
CAPNS1	ENST00000246533	19	36630477	36641255
SLC4A9	ENST00000230993	5	139739787	139754728
TALDO1	ENST00000319006	11	747329	765024
TUBB3	ENST00000556922	16	89985573	90002500
TIMP4	ENST00000287814	3	12194551	12200851
CCDC151	ENST00000356392	19	11531272	11546603
DUS4L	ENST00000265720	7	107203929	107218906
TRIM10	ENST00000449742	6	30119722	30128711
RHPN1	ENST00000289013	8	144451057	144466390
ZNF707	ENST00000532205	8	144766622	144796068
TM2D1	ENST00000371180	1	62146718	62191095
AIRE	ENST00000291582	21	45705721	45718531
DUSP27	ENST00000361200	1	167063282	167098402
DYX1C1	ENST00000321149	15	55702723	55800432
LRRC57	ENST00000323443	15	42834720	42841000
IL10RB	ENST00000290200	21	34638663	34669539
SERPINB6	ENST00000380520	6	2948393	2972090
PUS3	ENST00000227474	11	125763381	125773116
MAPKAPK3	ENST00000446044	3	50648951	50686720
TRIM38	ENST00000357085	6	25963030	25987384
ACMSD	ENST00000356140	2	135596117	135659604
CLCNKA	ENST00000331433	1	16345370	16360545
MRPL37	ENST00000360840	1	54649714	54691137
MORN1	ENST00000378531	1	2252692	2323146
TTC19	ENST00000261647	17	15902694	15948329
ZXDA	ENST00000358697	X	57931864	57937067
ZNF558	ENST00000601372	19	8920380	8943004
ROS1	ENST00000368508	6	117609463	117747018
LY6E	ENST00000520466	8	144099399	144105249
SERPINE3	ENST00000521255	13	51909909	51938871
WDR4	ENST00000398208	21	44263204	44299678
CLEC11A	ENST00000250340	19	51226586	51228974
FAM229B	ENST00000368656	6	112408802	112423993
FBXW10	ENST00000395665	17	18647326	18682662
THAP10	ENST00000249861	15	71173681	71185124
TRMT11	ENST00000334379	6	126307576	126360422
ZNF177	ENST00000434737	19	9435021	9493293
VWDE	ENST00000275358	7	12370511	12443567
PCDHB5	ENST00000231134	5	140514800	140517703
FAN1	ENST00000362065	15	31196055	31235311
PANX1	ENST00000227638	11	93862094	93915138
FREM1	ENST00000422223	9	14734664	14910993
EMR1	ENST00000312053	19	6887577	6940470
TMBIM1	ENST00000444881	2	219138915	219157309
RP11-618P17.4	ENST00000592740	19	34887220	34900269
SERTAD1	ENST00000357949	19	40927499	40931932
ACAA1	ENST00000333167	3	38144620	38178733
HMMR	ENST00000393915	5	162887209	162918947
FBXL15	ENST00000224862	10	104178946	104182893
UPP1	ENST00000331803	7	48128225	48148330
CLEC2L	ENST00000422142	7	139208602	139229730
CCDC178	ENST00000383096	18	30517366	31021065
IGFBP7	ENST00000295666	4	57896939	57976551
TMEM260	ENST00000261556	14	56955072	57117324
GSTA3	ENST00000211122	6	52761437	52774483
KCTD8	ENST00000360029	4	44175926	44450824
UGP2	ENST00000337130	2	64068074	64118696
ZNF396	ENST00000306346	18	32946661	32957301
SNTG2	ENST00000308624	2	946554	1371385
RBM43	ENST00000331426	2	152104454	152118393
GBAS	ENST00000322090	7	56019486	56067874
VNN3	ENST00000427187	6	133043926	133055904
BFSP1	ENST00000377873	20	17474550	17549865
LILRB2	ENST00000391749	19	54777675	54785039
OCSTAMP	ENST00000279028	20	45169585	45179213
TMPRSS3	ENST00000291532	21	43791999	43816955
CHST8	ENST00000262622	19	34112861	34264414
CSF2RA	ENST00000417535	X	1387693	1429274
ITLN2	ENST00000368029	1	160914815	160924589
NMI	ENST00000243346	2	152126979	152146571
CDH19	ENST00000262150	18	64168320	64271375
PTP4A3	ENST00000521578	8	142402093	142441620
FGF19	ENST00000294312	11	69513000	69519410
PXDC1	ENST00000380283	6	3722848	3752260
CCDC64B	ENST00000572449	16	3077683	3086927
INSIG1	ENST00000340368	7	155089486	155101945
LRRC42	ENST00000371370	1	54411750	54433841
PCDHB2	ENST00000194155	5	140474227	140476962
DUT	ENST00000331200	15	48623208	48635570
PDE6A	ENST00000255266	5	149237519	149324356
TSR1	ENST00000301364	17	2225797	2240801
RFXANK	ENST00000303088	19	19303008	19312678
GLB1L2	ENST00000535456	11	134201768	134248235
MED21	ENST00000282892	12	27175479	27219276
MRPL55	ENST00000366731	1	228294380	228297013
DNAH12	ENST00000311202	3	57327727	57530071
SLC7A9	ENST00000023064	19	33321415	33360672
SLC37A2	ENST00000308074	11	124932963	124959131
AKR1A1	ENST00000372070	1	46016215	46035721
PPP5D1	ENST00000414155	19	46984053	47104457
AVPR1B	ENST00000367126	1	206223976	206231639
STON1	ENST00000309835	2	48756522	48826025
THAP5	ENST00000415914	7	108194987	108210194
EXD2	ENST00000409018	14	69658228	69709075
TMEM102	ENST00000323206	17	7338762	7340998
PP2D1	ENST00000389050	3	20021453	20053822
ASAH2	ENST00000395526	10	51942538	52008370
GAS2L3	ENST00000539410	12	100967461	101022064
CCDC65	ENST00000320516	12	49297893	49325623
PHYH	ENST00000263038	10	13319796	13344412
FERD3L	ENST00000275461	7	19184405	19185044
UMODL1	ENST00000408989	21	43483068	43563563
GPR128	ENST00000273352	3	100328433	100414323
IFNAR2	ENST00000342136	21	34602206	34637980
KIAA1586	ENST00000370733	6	56911347	56920023
FCRL2	ENST00000361516	1	157715523	157746922
WDR74	ENST00000525239	11	62599814	62609281
ZNF283	ENST00000324461	19	44331444	44353307
PDCD7	ENST00000204549	15	65409717	65426174
RAMP1	ENST00000254661	2	238767536	238820756
LEKR1	ENST00000491763	3	156543270	156763918
CYP3A4	ENST00000336411	7	99354604	99381888
CATSPER4	ENST00000456354	1	26517052	26529459
LRRIQ4	ENST00000340806	3	169539710	169555563
TNFSF9	ENST00000245817	19	6531010	6535931
ACTL8	ENST00000375406	1	18081808	18153558
CCT6B	ENST00000314144	17	33254878	33308097
HUS1	ENST00000258774	7	47735328	48019178
IMPACT	ENST00000284202	18	22006580	22033499
PRRG1	ENST00000542554	X	37208528	37316548
AQP8	ENST00000219660	16	25227052	25240261
CLEC4M	ENST00000327325	19	7828035	7834491
SIRPB2	ENST00000359801	20	1451386	1472233
LOXL4	ENST00000260702	10	100007447	100028007
MRPS7	ENST00000245539	17	73257755	73262454
TFPT	ENST00000391759	19	54610320	54619055
RAB31	ENST00000578921	18	9708162	9862548
DNASE1L3	ENST00000318316	3	58177984	58200424
SLC5A2	ENST00000330498	16	31494323	31502181
TBC1D24	ENST00000293970	16	2525147	2555735
PLEKHN1	ENST00000379410	1	901877	911245
DPM2	ENST00000314392	9	130697378	130700763
TMC8	ENST00000318430	17	76126851	76139049
TRIM21	ENST00000254436	11	4406127	4414926
NANOGNB	ENST00000382119	12	7917812	7926717
GPAT2	ENST00000434632	2	96687694	96705199
DCAF4L1	ENST00000333141	4	41983713	41988476
STOX1	ENST00000298596	10	70587298	70655188
C10orf107	ENST00000330194	10	63422719	63526524
AC024580.1	ENST00000376271	19	56662314	56663250
CCDC105	ENST00000292574	19	15121556	15134081
ATRAID	ENST00000380171	2	27434895	27440046
ZNF584	ENST00000306910	19	58912871	58929694
CCDC150	ENST00000389175	2	197504278	197628214
DFNA5	ENST00000342947	7	24737972	24809244
RGP1	ENST00000378078	9	35749203	35758572
ST6GALNAC1	ENST00000156626	17	74620843	74639920
SURF6	ENST00000372022	9	136197552	136203235
C4orf27	ENST00000393381	4	170650616	170679104
SHD	ENST00000543264	19	4278598	4290721
KRTAP16-1	ENST00000391352	17	39463952	39465505
TRUB1	ENST00000298746	10	116697952	116737430
GYS2	ENST00000261195	12	21689123	21757781
UROD	ENST00000246337	1	45477819	45481247
CARD9	ENST00000371732	9	139256355	139268133
COQ10A	ENST00000308197	12	56660642	56664750
CKAP2	ENST00000378037	13	53029564	53050763
CD38	ENST00000226279	4	15779898	15854853
LOH12CR1	ENST00000314565	12	12510013	12619840
LYPD6B	ENST00000409642	2	149894621	150071776
WISP1	ENST00000250160	8	134203282	134242587
SLC25A24	ENST00000565488	1	108676658	108743471
KIAA1919	ENST00000368847	6	111580551	111592370
ECM1	ENST00000369049	1	150480538	150486265
CCNB1IP1	ENST00000398169	14	20779527	20801471
CAPN13	ENST00000295055	2	30945637	31043408
AKR1D1	ENST00000242375	7	137687070	137802732
RASL10B	ENST00000268864	17	34058668	34070540
MSRB1	ENST00000361871	16	1988211	1993327
IQCF2	ENST00000333127	3	51895645	51897440
CEP112	ENST00000392769	17	63631656	64188202
ABCB5	ENST00000404938	7	20654830	20816658
CCR9	ENST00000357632	3	45927996	45944667
EPHX1	ENST00000366837	1	225997794	226033260
CCL19	ENST00000311925	9	34689564	34691274
KLHL21	ENST00000377658	1	6650784	6674667
RTDR1	ENST00000216036	22	23401593	23487208
SEC14L4	ENST00000255858	22	30884900	30901698
ARRDC4	ENST00000268042	15	98462784	98517068
KLF1	ENST00000264834	19	12995237	12997995
LDLR	ENST00000558518	19	11200038	11244492
GRPEL2	ENST00000329271	5	148724993	148734146
TTC30B	ENST00000408939	2	178413726	178417742
SPCS1	ENST00000233025	3	52738971	52742182
TAS2R38	ENST00000547270	7	141672431	141673573
HPX	ENST00000265983	11	6452279	6463847
TMEM229B	ENST00000357461	14	67913801	68000456
ACBD6	ENST00000367595	1	180244515	180472089
LCN15	ENST00000316144	9	139654086	139660707
CABYR	ENST00000399496	18	21718942	21741567
ELANE	ENST00000590230	19	851014	856242
DAK	ENST00000394900	11	61100682	61120767
ANKUB1	ENST00000446160	3	149478892	149686172
ANO10	ENST00000292246	3	43396351	43733086
NPIPB11	ENST00000524087	16	29392675	29415350
GSC	ENST00000238558	14	95234553	95236562
DYNC2LI1	ENST00000260605	2	44001178	44037149
UBXN10	ENST00000375099	1	20512578	20522541
MEFV	ENST00000219596	16	3292028	3306627
TRIM16	ENST00000578237	17	15531274	15587625
TEX261	ENST00000272438	2	71213068	71222075
NOL12	ENST00000359114	22	38077680	38170137
RCN1	ENST00000054950	11	31833939	32127301
ZBTB45	ENST00000594051	19	59024897	59050278
ORC4	ENST00000392857	2	148687968	148779147
NPFFR2	ENST00000308744	4	72897521	73013784
SETMAR	ENST00000358065	3	4344988	4359251
RTCA	ENST00000260563	1	100731763	100758325
TSTA3	ENST00000425753	8	144694788	144700218
MXRA8	ENST00000309212	1	1288069	1297157
ECH1	ENST00000221418	19	39306062	39322645
NYX	ENST00000342595	X	41306687	41334963
MEGF11	ENST00000409699	15	66187417	66546085
DHX35	ENST00000252011	20	37590942	37668366
AC109829.1	ENST00000447166	2	27760253	27790011
SMIM12	ENST00000521580	1	35178338	35325417
FHL2	ENST00000358129	2	105974169	106054970
NUCB2	ENST00000529010	11	17229700	17371521
MVB12A	ENST00000317040	19	17516531	17544533
GADD45A	ENST00000370986	1	68150744	68154021
SDC4	ENST00000372733	20	43953928	43977064
FAM188B	ENST00000265299	7	30811033	30932002
TMEM175	ENST00000264771	4	926175	952444
ZNF891	ENST00000537226	12	133694740	133707059
IGF2	ENST00000434045	11	2150342	2170833
PGS1	ENST00000262764	17	76374721	76421195
ERAP1	ENST00000296754	5	96096521	96143803
CXCR2	ENST00000318507	2	218990012	219001976
MYF6	ENST00000228641	12	81101277	81103253
GSX1	ENST00000302945	13	28366780	28368905
TTLL10	ENST00000379290	1	1109264	1133315
BTBD8	ENST00000342818	1	92545862	92613393
MFI2	ENST00000296350	3	196715492	196756687
ASTL	ENST00000342380	2	96789589	96804175
OR2W1	ENST00000377175	6	29011990	29013017
FUK	ENST00000288078	16	70488324	70514177
OMA1	ENST00000371226	1	58881056	59012474
RNF152	ENST00000312828	18	59475296	59561480
SLC5A4	ENST00000266086	22	32614465	32651328
APOL5	ENST00000249044	22	36113919	36125530
NCF1	ENST00000289473	7	74188309	74203659
CLN6	ENST00000249806	15	68499330	68549549
SPINK1	ENST00000296695	5	147204131	147211349
AC007040.11	ENST00000606025	2	71166448	71222466
ZBTB25	ENST00000608382	14	64915824	64971931
HBG1	ENST00000330597	11	5269313	5271122
LRRC20	ENST00000355790	10	72058729	72142382
SLC47A2	ENST00000325411	17	19581601	19622292
RNASEL	ENST00000367559	1	182542769	182558391
PDSS2	ENST00000369037	6	107473761	107780768
OPA3	ENST00000323060	19	46030685	46105470
UGT1A4	ENST00000373409	2	234627424	234681945
TDP2	ENST00000378198	6	24650205	24667261
SHQ1	ENST00000325599	3	72798428	72911065
COG8	ENST00000306875	16	69354043	69373570
GLT8D1	ENST00000407584	3	52728505	52740048
C17orf66	ENST00000311880	17	34181955	34195895
PDZD7	ENST00000370215	10	102767440	102790890
CXCL11	ENST00000306621	4	76954835	76962568
SH3BP2	ENST00000503393	4	2794750	2842825
TFEC	ENST00000265440	7	115575202	115799950
MRFAP1	ENST00000320912	4	6641818	6644472
BRMS1	ENST00000425825	11	66104804	66112596
CLEC10A	ENST00000254868	17	6977856	6983626
PADI1	ENST00000375471	1	17531621	17572500
PADI4	ENST00000375448	1	17634690	17690499
TMEM30C	ENST00000429523	3	99904531	99913035
PVRIG	ENST00000317271	7	99815864	99819113
HOXC11	ENST00000546378	12	54366910	54371427
KRT28	ENST00000306658	17	38948455	38956211
CHRNA5	ENST00000299565	15	78857862	78887611
RIC3	ENST00000309737	11	8127597	8190602
COMMD3	ENST00000376836	10	22604903	22609235
OR10K1	ENST00000289451	1	158435272	158436344
PIK3C2G	ENST00000433979	12	18400548	18801348
HS3ST3A1	ENST00000284110	17	13399006	13505244
PINK1	ENST00000321556	1	20959948	20978004
ACTL9	ENST00000324436	19	8807751	8809172
CCDC58	ENST00000291458	3	122078438	122102078
GUF1	ENST00000281543	4	44680444	44702943
B4GALT4	ENST00000483209	3	118930579	118959950
C9orf24	ENST00000297623	9	34379017	34397830
NPL	ENST00000367553	1	182758428	182799519
FUT4	ENST00000358752	11	94277017	94283063
CCDC85B	ENST00000312579	11	65657875	65659105
OVOL3	ENST00000262637	19	36602104	36604613
PNKD	ENST00000273077	2	219135115	219211516
POF1B	ENST00000262753	X	84532402	84634748
LMOD3	ENST00000420581	3	69156023	69172183
SPR	ENST00000234454	2	73114489	73119287
ASTE1	ENST00000264992	3	130732719	130746493
WFIKKN1	ENST00000319070	16	679239	684116
ALDH9A1	ENST00000354775	1	165631453	165668100
ZNF502	ENST00000296091	3	44754135	44765323
NOX4	ENST00000263317	11	89057524	89322779
IL17RB	ENST00000288167	3	53880607	53899827
ITGB1BP1	ENST00000360635	2	9543604	9563676
CENPH	ENST00000283006	5	68485375	68506184
RAD51L3-RFFL	ENST00000593039	17	33338368	33448512
HSD17B13	ENST00000328546	4	88224941	88244058
CTC-512J12.6	ENST00000588212	19	44833848	44905774
C6ORF165	ENST00000369562	6	88117701	88174183
NEBL	ENST00000377122	10	21068902	21463116
ZNF185	ENST00000535861	X	152082986	152142024
FAM177A1	ENST00000280987	14	35514113	35582336
TRMT10C	ENST00000309922	3	101280706	101285290
FBXO44	ENST00000376770	1	11714432	11723384
FAM81B	ENST00000283357	5	94727048	94786158
HEXDC	ENST00000337014	17	80376194	80400521
ASPG	ENST00000551177	14	104552016	104579098
EXOSC5	ENST00000221233	19	41892279	41903384
LZIC	ENST00000377223	1	9982173	10003465
CAPN9	ENST00000271971	1	230883130	230937749
HSPB8	ENST00000281938	12	119616447	119658936
HSPBAP1	ENST00000306103	3	122458846	122512671
RDH8	ENST00000591589	19	10123925	10132955
C14orf164	ENST00000399910	14	23654525	23742686
CALR3	ENST00000269881	19	16589868	16607003
CTD-2260A17.2	ENST00000504056	5	96149731	96271513
OSCP1	ENST00000235532	1	36881428	36916086
TMA16	ENST00000358572	4	164415594	164441691
FAM64A	ENST00000250056	17	6347735	6354789
NAGS	ENST00000293404	17	42081914	42086431
ANO6	ENST00000423947	12	45609770	45834187
PCDHGB2	ENST00000522605	5	140739703	140892546
C11orf70	ENST00000434758	11	101918174	101955291
HTR3A	ENST00000355556	11	113845603	113861035
COX7C	ENST00000509578	5	85913721	85916779
HAAO	ENST00000294973	2	42994229	43019733
PAPLN	ENST00000340738	14	73704205	73741348
IL17A	ENST00000340057	6	52051185	52055436
SKA3	ENST00000314759	13	21727734	21750741
STOM	ENST00000286713	9	124101355	124132531
SAMD12	ENST00000314727	8	119201698	119634234
SLC2A9	ENST00000264784	4	9772777	10056560
C15orf52	ENST00000559313	15	40623653	40633168
UBXN11	ENST00000374222	1	26607819	26644854
PPP1R36	ENST00000298705	14	65016620	65056098
KCNJ5	ENST00000529694	11	128761251	128790930
AGBL1	ENST00000441037	15	86685227	87572283
CCDC37	ENST00000352312	3	126113782	126155399
CBLC	ENST00000270279	19	45281126	45303891
GRAMD3	ENST00000513040	5	125695824	125832186
ZFYVE19	ENST00000355341	15	41099284	41106767
KIF9	ENST00000335044	3	47269516	47324941
CDCA5	ENST00000275517	11	64833772	64851636
DMP1	ENST00000339673	4	88571459	88585513
ENPEP	ENST00000265162	4	111286889	111486441
RBFA	ENST00000306735	18	77794358	77806397
SARM1	ENST00000457710	17	26691378	26728065
TERF2IP	ENST00000300086	16	75681684	75795770
DALRD3	ENST00000341949	3	49052921	49059726
CCER2	ENST00000571838	19	39399620	39402798
PPP1R14A	ENST00000301242	19	38741877	38747231
PRG3	ENST00000287143	11	57144242	57148623
C2orf61	ENST00000445927	2	47272677	47382517
SCRN3	ENST00000272732	2	175260458	175294303
ACAT2	ENST00000367048	6	160181360	160200144
GPR113	ENST00000311519	2	26531041	26569685
DQX1	ENST00000404568	2	74745258	74753463
HDHD1	ENST00000424830	X	6966961	7066231
SCTR	ENST00000019103	2	120197419	120282070
ADAD2	ENST00000268624	16	84224744	84230774
TSEN2	ENST00000284995	3	12525931	12581122
C3orf20	ENST00000253697	3	14716606	14814541
CSRP1	ENST00000367306	1	201452658	201478584
LRRC2	ENST00000395905	3	46556913	46621589
SNAI3	ENST00000332281	16	88744090	88752901
RP11-385D13.1	ENST00000455584	17	15474805	15554967
TRIT1	ENST00000316891	1	40306723	40349183
HYKK	ENST00000388988	15	78799906	78829714
KRT84	ENST00000257951	12	52771596	52779436
MPO	ENST00000225275	17	56347217	56358296
SLC22A8	ENST00000336232	11	62756626	62783311
VAMP1	ENST00000396308	12	6571403	6580153
HAO1	ENST00000378789	20	7863628	7921121
ZNF786	ENST00000491431	7	148766735	148787874
TATDN3	ENST00000532324	1	212965170	212989968
CES3	ENST00000303334	16	66995140	67009051
CSNK1A1L	ENST00000379800	13	37677398	37679803
IQCK	ENST00000320394	16	19727778	19868907
GPR112	ENST00000394143	X	135383122	135519215
MASP2	ENST00000400897	1	11086580	11107290
TIMM21	ENST00000169551	18	71815746	71826197
SLC13A2	ENST00000444914	17	26800311	26824799
CSH2	ENST00000392886	17	61949372	61951126
TRPV3	ENST00000301365	17	3413796	3461289
ESD	ENST00000378720	13	47345391	47371367
MRPS24	ENST00000317534	7	43906157	43909492
ANKRD61	ENST00000409061	7	6071007	6076017
TTC16	ENST00000373289	9	130478345	130493879
TRIM69	ENST00000559390	15	45021186	45060027
ZNF432	ENST00000594154	19	52534632	52598991
TSR3	ENST00000007390	16	1399241	1401912
NBPF1	ENST00000430580	1	16888814	16940057
HMGN5	ENST00000358130	X	80369200	80457441
MRPL2	ENST00000388752	6	43021767	43027544
SH3RF2	ENST00000511217	5	145316142	145461354
ARSG	ENST00000448504	17	66255323	66418872
CIB1	ENST00000328649	15	90773207	90777279
KIR2DL4	ENST00000345540	19	55236002	55325972
ATP5J2-PTCD1	ENST00000413834	7	99017372	99063820
TGDS	ENST00000261296	13	95226308	95248511
PTCD1	ENST00000555673	7	99014362	99063787
CDKL3	ENST00000265334	5	133541305	133706738
CHRNA3	ENST00000326828	15	78885394	78913637
RILPL2	ENST00000280571	12	123899936	123921264
SPATA7	ENST00000393545	14	88851268	88936694
SCPEP1	ENST00000262288	17	55055466	55084129
FAM195B	ENST00000576730	17	79780287	79791178
CA4	ENST00000300900	17	58227297	58248260
DFNB59	ENST00000409117	2	179316163	179326117
PLK5	ENST00000334770	19	1524073	1535455
GCKR	ENST00000264717	2	27719709	27746554
SH2D1B	ENST00000367929	1	162365056	162381928
CD276	ENST00000318443	15	73976307	74006859
IQCF1	ENST00000310914	3	51928892	51937351
ZNF195	ENST00000399602	11	3360491	3400448
HOXC9	ENST00000303450	12	54388679	54397121
ZNF738	ENST00000311015	19	21541732	21562104
FUNDC1	ENST00000378045	X	44382885	44402247
TIFA	ENST00000361717	4	113195698	113207059
TPMT	ENST00000309983	6	18128542	18155305
VWA8	ENST00000379310	13	42140973	42535256
CWF19L1	ENST00000354105	10	101992055	102027437
TSSK2	ENST00000399635	22	19118321	19120134
LPO	ENST00000262290	17	56295909	56345879
ADAMTSL5	ENST00000330475	19	1505017	1513603
OTOP3	ENST00000328801	17	72931814	72946087
CAPN11	ENST00000398776	6	44126548	44152139
NBPF3	ENST00000318249	1	21766621	21811498
ZSCAN31	ENST00000414429	6	28292470	28324048
CCDC154	ENST00000389176	16	1484384	1494557
TMC2	ENST00000358864	20	2517253	2622430
ARHGEF19	ENST00000270747	1	16524349	16539104
MFAP3	ENST00000436816	5	153418466	153600038
RPTN	ENST00000316073	1	152126071	152131704
TLL2	ENST00000357947	10	98124363	98273675
GCSAML	ENST00000366488	1	247670360	247740992
TMPRSS15	ENST00000284885	21	19641433	19858197
BAG2	ENST00000370693	6	57037124	57054631
PRCP	ENST00000393399	11	82534544	82681626
EXOC3L1	ENST00000314586	16	67218269	67224107
PNP	ENST00000361505	14	20937113	20945253
COMMD4	ENST00000267935	15	75628232	75634268
FARS2	ENST00000324331	6	5261277	5771813
PDPN	ENST00000294489	1	13909960	13944452
MUL1	ENST00000264198	1	20825943	20834654
SERPINB13	ENST00000344731	18	61254223	61271873
MBOAT4	ENST00000320542	8	29989340	30002202
EDARADD	ENST00000334232	1	236511562	236648214
C1QA	ENST00000374642	1	22962999	22966101
PFKP	ENST00000381125	10	3108525	3179904
ACADM	ENST00000420607	1	76190036	76253260
PLA2G3	ENST00000215885	22	31530795	31536593
CNGB1	ENST00000251102	16	57917503	58005020
SCLY	ENST00000254663	2	238969530	239008054
CHRNA6	ENST00000276410	8	42607763	42651535
PLSCR4	ENST00000354952	3	145910126	145968966
SLC35A5	ENST00000492406	3	112280556	112304424
WHAMM	ENST00000286760	15	83478380	83503611
ARMC4	ENST00000305242	10	28064115	28287977
RNF141	ENST00000265981	11	10533225	10562777
CNTN6	ENST00000446702	3	1134260	1445901
ZNF623	ENST00000501748	8	144718183	144735900
MOCOS	ENST00000261326	18	33767482	33852120
YPEL3	ENST00000398841	16	30103635	30108236
SLC22A2	ENST00000366953	6	160592093	160698670
SPRY3	ENST00000302805	X	154997474	155012121
TWIST2	ENST00000448943	2	239756673	239795893
NR1I3	ENST00000367980	1	161199456	161208092
FAM183A	ENST00000335282	1	43610824	43622067
TMEM127	ENST00000258439	2	96914254	96931732
FIGF	ENST00000297904	X	15363713	15402498
FASTKD3	ENST00000264669	5	7859272	7869150
ZNF165	ENST00000377325	6	28048753	28057341
OFCC1	ENST00000460363	6	9596343	10211841
NEK4	ENST00000233027	3	52744800	52804965
LEPREL1	ENST00000319332	3	189674517	189840226
MTHFD2L	ENST00000395759	4	74979891	75168816
C18orf54	ENST00000300091	18	51884287	51911588
C1RL	ENST00000266542	12	7242183	7261869
HLA-DRB1	ENST00000360004	6	32546546	32557625
HRH1	ENST00000397056	3	11178779	11305243
NCR3LG1	ENST00000338965	11	17373273	17398888
C9orf117	ENST00000373295	9	130469268	130478281
DIRC2	ENST00000261038	3	122513642	122599986
OXSM	ENST00000280701	3	25824408	25836025
OIT3	ENST00000334011	10	74653339	74692791
IZUMO2	ENST00000293405	19	50655805	50666452
DCDC2	ENST00000378454	6	24171984	24358280
DCSTAMP	ENST00000297581	8	105351315	105368917
ISCU	ENST00000311893	12	108956358	108963160
PCDHA13	ENST00000289272	5	140261793	140391929
LRRC9	ENST00000445360	14	60386431	60530277
TACR2	ENST00000373306	10	71163659	71176623
XKRX	ENST00000372956	X	100168431	100184422
KHDC3L	ENST00000370367	6	74072400	74073894
C16orf97	ENST00000562818	16	52039399	52112386
MSRB3	ENST00000355192	12	65672423	65882024
OR8D4	ENST00000321355	11	123777109	123778183
NDUFS4	ENST00000296684	5	52856463	52979168
TRPA1	ENST00000262209	8	72932152	72987852
SLC9A3R1	ENST00000262613	17	72744791	72765492
C11orf88	ENST00000332814	11	111385510	111407756
ABCC2	ENST00000370449	10	101542489	101611949
PTPMT1	ENST00000326674	11	47586982	47595013
ORMDL1	ENST00000325795	2	190635049	190649097
